index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
91,Circle K Slemmestad,0,35022888,"Slemmestadveien 606, 3470 Slemmestad","59.78076889345298, 10.495764693452978",,,Stavern,Larvik,Vestfold og Telemark,"52.797273, 7.4345519",2022-02-24 01:47:39.523915,00.00
92,Circle K Heddal,0,35976221,"Heddalsvegen 878, 3677 Notodden","59.687317171276966, 9.151022942139845",,,Stjørdalshalsen,Stjørdal,Trøndelag,"63.4683597, 10.9239498",2022-02-24 02:30:47.349365,00.00
93,Shell Myrland Auto,0,52828974,"Europaveien 445, E18, 3967 Stathelle","59.0451258842493, 9.697861484249298",,,Tvedestrand,Tvedestrand,Agder,"58.5662265, 9.212295064937138",2022-02-24 01:39:06.921160,00.00
94,Circle K Skudeneshavn,0,53742550,"Vektarvegen 1, 4280 Skudeneshavn","59.154971997929565, 5.2442373003719585",,,Ulsteinvik,Ulstein,Møre og Romsdal,"62.3426685, 5.8468533",2022-02-24 01:39:34.145351,00.00
95,Shell Haukås Sveio,0,73911180,"Tittelsnesvegen 596, 5550 Sveio","59.61403087826807, 5.412081437177301",,,Verdalsøra,Verdal,Trøndelag,"63.7927943, 11.4820351",2022-02-24 01:47:39.523915,00.00
96,Circle K Tunga,0,72840300,"Tungasletta 16, 7047 Trondheim","63.43092709616883, 10.395554196168831",,,Vinstra,Nord-Fron,Innlandet,"61.595437950000004, 9.74714775122301",2022-02-24 02:30:47.349365,00.00
97,Circle K Heimdal,0,97969581,"Søbstadvegen 12, 7088 Heimdal","63.35116319686677, 10.358051396866767",,,Åkrehamn,Karmøy,Rogaland,"59.2608009, 5.1859431",2022-02-24 01:39:06.921160,00.00
98,Circle K Skaun,0,22962530,"Skaunavegen 701, 7357 Skaun","63.2701426, 10.052301924268896",,,Åndalsnes,Rauma,Møre og Romsdal,"62.5681692, 7.6867621",2022-02-24 01:39:34.145351,00.00
99,Circle K Ramberg,0,61211880,"Flakstadveien 423, 8380 Ramberg","49.2606966, 8.0083015",,,Holmsbu,Hurum,Viken,"59.5602005, 10.4276523",2022-02-24 01:47:39.523915,00.00
100,Nordal servicesenter AS,0,76082444,"Bergomsvegen 11, 2686 Lom","45.57052851150879, 9.773411511508794",,,Hvitsten,Vestby,Viken,"59.07803265, 11.095578177429175",2022-02-24 02:30:47.349365,00.00
101,Esso Leknes,0,53756052,"Idrettsgata 57, 8370 Leknes","68.14568068968282, 13.618369210937123",,,Hølen,Vestby,Viken,"59.5399008, 10.7423942",2022-02-24 01:39:06.921160,00.00
102,Etne service senter,0,63000630,"Haukelivegen 945, E134, 5590 Etne","59.7985899, 6.294994955666921",,,Røros,Røros,Trøndelag,"62.5745822, 11.3836273",2022-02-24 01:39:06.921160,00.00
103,Circle K E6 Berger,0,22124212,"Bølerveien 34, 2016 Frogner","59.9222241, 10.7066491",,,Setermoen,Bardu,Troms og Finnmark,"68.8615136, 18.3463924",2022-02-24 01:39:34.145351,00.00
104,Yx Norge AS Lysaker,0,69809770,"Lysaker Torg 35, 1366 Lysaker","59.9130129, 10.6365628",,,Sogndal,Sokndal,Rogaland,"61.329791, 6.720364762111766",2022-02-24 01:47:39.523915,00.00
105,Yx Skiptvet,0,63999147,"Storveien 5, 1816 Skiptvet","59.47112894999999, 11.151797925103532",,,Son,Vestby,Viken,"29.3333331, -110.6666671",2022-02-24 02:30:47.349365,00.00
106,Yx Maura,0,63964439,"Mauravegen 67, 2032 Maura","43.38316066291263, -0.07223133708736916",,,Åsgårdstrand,Horten,,"59.3491387, 10.4680198",2022-02-24 01:39:06.921160,00.00
107,Eidsvoll Shellstasjon,0,63966396,"Sundgata 27, 2080 Eidsvoll","60.32870157606613, 11.261431976066135",,,Bærum,Bærum,Bærum,"59.9574233, 10.4786125",2022-02-24 01:39:34.145351,00.00
108,Yx Eidsvoll,0,63987364,"Nedre Vilberg veg 5, 2080 Eidsvoll","60.754061750000005, 15.854487769046901",,,Skoland,Skoland,Skoland,"58.174171231082184, 7.059126706362121",2022-02-24 01:47:39.523915,00.00
109,Yx Hurdal,0,62587060,"Glassverkvegen 31, 2090 Hurdal","60.42725457601686, 10.976198864596727",,,,,,,2022-02-24 02:30:47.349365,00.00
110,Yx Vallset,0,62342220,"Gata 11, 2330 Vallset","60.7000123, 11.3274941",,,,,,,2022-02-24 01:39:06.921160,00.00
111,Yx Brumunddal,0,46972170,"Ringsakervegen 15, 2383 Brumunddal","60.88692501645217, 10.937103916452172",,,,,,,2022-02-24 01:39:34.145351,00.00
112,Yx Braskereidfoss,0,62467181,"Braskereidsvegen 2, 2435 Braskereidfoss","60.7238384, 11.8017316",,,,,,,2022-02-24 01:47:39.523915,00.00
113,Yx Rendalen,0,62469056,"Gamle Kongevei 2443, 2485 Rendalen","61.80694408515124, 11.202535844872985",,,,,,,2022-02-24 02:30:47.349365,00.00
114,Yx Åkrestrømmen,0,62494280,"Sjøliveien 8, Åkrestrømmen, 2485 Rendalen","61.806568150000004, 11.202159909721754",,,,,,,2022-02-24 01:39:06.921160,00.00
