index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
854,Shell Crt Stoa,0,37040668,"Åsbieveien 60, 4848 Arendal","58.4598261741752, 8.766787674175198",,,,,,,2022-02-24 02:30:47.349365,00.00
855,Circle K Grimstad,0,37160555,"Vesterled 100, 4877 Grimstad","58.28411841024599, 8.712950828988838",,,,,,,2022-02-24 01:39:06.921160,00.00
856,Circle K Fiane,0,91901430,"Holtsveien 310, 4905 Tvedestrand","58.5662265, 9.212295064937138",,,,,,,2022-02-24 01:39:34.145351,00.00
857,Total veiservice Brokelandsheia AS,0,37158393,"Gjerstadveien 1276, 4980 Gjerstad","58.8782545, 8.979742055383706",,,,,,,2022-02-24 01:47:39.523915,00.00
858,Circle K Brokelandsheia,0,22665600,"Gjerstadveien 341, 4993 Sundebru","58.8380102, 9.0865005",,,,,,,2022-02-24 02:30:47.349365,00.00
859,Shell Express Sandviken,0,55256419,"Sandviksveien 44 B, 5036 Bergen","60.394533267921666, 5.326146967921667",,,,,,,2022-02-24 01:39:06.921160,00.00
860,Circle K Helleveien,0,55299662,"Helleveien 34, 5042 Bergen","60.39442755895291, 5.3260412589529125",,,,,,,2022-02-24 01:39:34.145351,00.00
861,Circle K Viken,0,22971007,"Vikens gate 6, 5057 Bergen","60.39464060768061, 5.326254307680607",,,,,,,2022-02-24 01:47:39.523915,00.00
862,Esso Express Landåstorget,0,55538500,"Nattlandsveien 78, 5094 Bergen","60.39458565646755, 5.32619935646755",,,,,,,2022-02-24 02:30:47.349365,00.00
863,Shell Haukås Nyborg,0,55195110,"Steinestøvegen 279, 5111 Breistein","60.4874862, 5.4015283",,,,,,,2022-02-24 01:39:06.921160,00.00
864,Circle K Ulset,0,55390590,"Hesthaugvegen 14, 5119 Ulset","60.46103623662257, 5.308644536622567",,,,,,,2022-02-24 01:39:06.921160,00.00
865,Circle K Haukås,0,22665600,"Nordre Brurås 2, 5131 Nyborg","55.31007061637855, 10.797902916378558",,,,,,,2022-02-24 01:39:34.145351,00.00
866,Shell Express Marikollen,0,22665600,"Slettestølsvegen 30, 5136 Mjølkeråen","60.4884976, 5.2609353",,,,,,,2022-02-24 01:47:39.523915,00.00
867,Shell Crt Fjøsanger,0,55930680,"Straumeveien 20, 5152 Bønes","52.0017027, -9.7470399",,,,,,,2022-02-24 02:30:47.349365,00.00
868,YX/7-eleven Drotningsvik,0,55130660,"Drotningsvikveien 130, 5179 Godvik","60.37225006921546, 5.181073221569384",,,,,,,2022-02-24 01:39:06.921160,00.00
869,Shell Automat Nesttun,0,55118550,"Nesttunvegen 87, 5221 Nesttun","60.31661882758866, 5.354727227588662",,,,,,,2022-02-24 01:39:34.145351,00.00
870,Circle K Detaljist AS duplic,0,55126450,"Nesttunvegen 91, 5221 Nesttun","60.31637778631667, 5.354486186316669",,,,,,,2022-02-24 01:47:39.523915,00.00
871,Circle K Sandsli,0,22665600,"Sandslivegen 11, 5254 Sandsli","60.2942946, 5.2813865",,,,,,,2022-02-24 02:30:47.349365,00.00
872,Shell Express Kokstad,0,46280950,"Kokstadvegen 15, 5257 Kokstad","60.2918676643166, 5.2614328051315",,,,,,,2022-02-24 01:39:06.921160,00.00
873,Circle K Flesland,0,56332490,"Flyplassvegen 425, 5258 Blomsterdalen","60.2834577, 5.252868",,,,,,,2022-02-24 01:39:34.145351,00.00
874,Circle K Fjell,0,91385961,"Kleivanevegen 4, 5357 Fjell","59.7228421, 10.205564346515292",,,,,,,2022-02-24 01:47:39.523915,00.00
875,Cirkle K Leirvik,0,22665600,"Vabakkjen 1, 5411 Stord","59.82524424686902, 5.4885943368354715",,,,,,,2022-02-24 02:30:47.349365,00.00
876,Shell Express Leirvik,0,53486500,"Studalen 2, 5417 Stord","59.82502055, 5.488370639966453",,,,,,,2022-02-24 01:39:06.921160,00.00
877,Circle K Husnes,0,52735960,"Opsangervegen 3, 5460 Husnes","59.861015, 5.7531308",,,,,,,2022-02-24 01:39:34.145351,00.00
878,Circle K Kvala,0,52737340,"Tittelsnesvegen 95, 5514 Haugesund","59.41413110977626, 5.268383209776251",,,,,,,2022-02-24 01:47:39.523915,00.00
879,Shell 7-Eleven du,0,52711160,"Karmsundgata 75, 5531 Haugesund","59.41412981226468, 5.268381912264682",,,,,,,2022-02-24 02:30:47.349365,00.00
880,Circle K Spannaveien,0,47671775,"Spannavegen 148, 5535 Haugesund","59.41408116626694, 5.268333266266936",,,,,,,2022-02-24 01:39:06.921160,00.00
881,Yx 7-Eleven,0,53641396,"Austbøvegen 16, 5542 Karmsund","59.376538903984304, 5.300350203984308",,,,,,,2022-02-24 01:39:06.921160,00.00
882,Best stasjon Odda,0,22665600,"Røldalsvegen 44, 5750 Odda","60.06630389033543, 6.546457924603636",,,,,,,2022-02-24 01:39:34.145351,00.00
883,Shell Express Isdalstø,0,57783821,"Lindåsvegen 36, 5916 Isdalstø","60.5550116, 5.2691501",,,,,,,2022-02-24 01:47:39.523915,00.00
884,Circle K Eidsbotn,0,70123833,"Gulafjordvegen 633, 5960 Dalsøyra","60.9331295, 5.1355749",,,,,,,2022-02-24 02:30:47.349365,00.00
885,Rsh Yx Ysteneset,0,70147507,"Sundgata 22, 6003 Ålesund","62.4713948699865, 6.155432769986498",,,,,,,2022-02-24 01:39:06.921160,00.00
886,Circle K Moa,0,22665600,"Langelandsvegen 7, 6010 Ålesund","62.47147210117442, 6.1555100011744175",,,,,,,2022-02-24 01:39:34.145351,00.00
887,Shell Express Volda,0,70078880,"Prestegata 29, 6100 Volda","62.08051978623634, 6.274550803759507",,,,,,,2022-02-24 01:47:39.523915,00.00
888,Circle K Volda,0,90050947,"Industrigata 15, 6100 Volda","62.08074752352284, 6.274778541046008",,,,,,,2022-02-24 02:30:47.349365,00.00
889,Best Ekspress Volda,0,70069699,"Furene, 6100 Volda","62.08037975, 6.274410767523168",,,,,,,2022-02-24 01:39:06.921160,00.00
890,Circle K Ørsta,0,22665600,"Ivar Aasen-gata 20, 6153 Ørsta","62.247053750000006, 6.285936758760558",,,,,,,2022-02-24 01:39:34.145351,00.00
891,Shell Express Hovdebygda,0,70254141,"Torvmyrane 1, 6160 Hovdebygda","62.1839891, 6.0789532",,,,,,,2022-02-24 01:47:39.523915,00.00
892,Circle K Sykkylven,0,69234099,"Kyrkjevegen 159, 6230 Sykkylven","62.34347900523617, 6.609457599904756",,,,,,,2022-02-24 02:30:47.349365,00.00
893,Circle K Digerneset,0,70217240,"Digernes Næringsområde 2, 6260 Skodje","62.50477902758746, 6.695171027587464",,,,,,,2022-02-24 01:39:06.921160,00.00
894,Circle K Brattvåg,0,22665600,"Håvikvegen 18, 6270 Brattvåg","62.6020492, 6.4445571",,,,,,,2022-02-24 01:39:34.145351,00.00
895,Shell Express Åndalsnes,0,71257815,"Øran, E136, 6300 Åndalsnes","62.567986436612614, 7.68935693661262",,,,,,,2022-02-24 01:47:39.523915,00.00
896,Circle K Bolsønes,0,71216000,"Fannestrandvegen 68, 6416 Molde","62.739568, 7.198740",,,,,,,2022-02-24 02:30:47.349365,00.00
897,YX 7-Eleven Årø,0,22665600,"Arøhaugen 8, 6422 Molde","62.74582057738423, 7.2494091201598",,,,,,,2022-02-24 01:39:06.921160,00.00
898,Shell Express Allanengen,0,71673072,"Dr Werrings gate 4, 6509 Kristiansund N","63.112447234974766, 7.730220462840584",,,,,,,2022-02-24 01:39:06.921160,00.00
899,Circle K Viadukten,0,98894428,"Wilhelm Dalls vei 25, 6511 Kristiansund N","63.123437850586605, 7.731413727362029",,,,,,,2022-02-24 01:39:34.145351,00.00
900,Best Bremsnes Averøy,0,57860764,"Averøyveien 417, 6530 Averøy","63.1371204, 7.4323066310460995",,,,,,,2022-02-24 01:47:39.523915,00.00
901,Circle K Eid,0,22665600,"Rådhusvegen 10, 6770 Nordfjordeid","61.90883315193116, 5.993392451931166",,,,,,,2022-02-24 02:30:47.349365,00.00
902,Shell Crt Stryn,0,57725540,"Hegrevegen 16, 6783 Stryn","61.821969330387994, 6.803132044855582",,,,,,,2022-02-24 01:39:06.921160,00.00
903,Best Centrum Bensin,0,57821128,"Storehagen 7, 6800 Førde","61.45242719247528, 5.857559192475276",,,,,,,2022-02-24 01:39:34.145351,00.00
904,Circle K Førde,0,57663040,"Hafstadvegen 32 A, 6800 Førde","61.45238540852496, 5.857517408524962",,,,,,,2022-02-24 01:47:39.523915,00.00
905,Best Øvre Årdal,0,22665600,"Årdalsvegen 1, 6884 Øvre Årdal","61.28605655, 7.804961075198172",,,,,,,2022-02-24 02:30:47.349365,00.00
906,Shell Automat Havna,0,73807950,"Pir II 6, 7010 Trondheim","63.4307154557155, 10.3953425557155",,,,,,,2022-02-24 01:39:06.921160,00.00
907,Bilhuset Ola Brun AS,0,72560338,"Kjøpmannsgata 41, 7011 Trondheim","63.430832030125174, 10.395459130125177",,,,,,,2022-02-24 01:39:34.145351,00.00
908,Circle K Byåsen,0,73936570,"Breidablikveien 136, 7020 Trondheim","63.43077376677195, 10.39540086677195",,,,,,,2022-02-24 01:47:39.523915,00.00
909,Circle K Nardo,0,72885366,"Torbjørn Bratts veg 13, 7032 Trondheim","46.82580585325747, 9.258512862172427",,,,,,,2022-02-24 02:30:47.349365,00.00
910,Shell7-Eleven Rosten,0,72515614,"Vestre Rosten 112, 7075 Tiller","63.35587669560407, 10.379292895604063",,,,,,,2022-02-24 01:39:06.921160,00.00
911,Esso Brekstad Bilservice,0,97575692,"Yrjars gate 5, 7130 Brekstad","63.6868699, 9.6663716",,,,,,,2022-02-24 01:39:34.145351,00.00
912,Circle K Brekstad,0,22665600,"Fru Ingers vei 21, 7130 Brekstad","46.82289615, 9.178905051099491",,,,,,,2022-02-24 01:47:39.523915,00.00
913,Shell Automat Ler,0,22665600,"Lundamovegen 8, E6, 7234 Ler","46.2796939, -99.3523336",,,,,,,2022-02-24 02:30:47.349365,00.00
914,Shell Express Hitra,0,94096677,"Oldervikveien 1, 7240 Hitra","63.56532465, 8.693911425517566",,,,,,,2022-02-24 01:39:06.921160,00.00
915,Circle K Røros,0,72412430,"Havsjøveien 7, 7374 Røros","62.5745822, 11.3836273",,,,,,,2022-02-24 01:39:06.921160,00.00
916,Bensin- og Servicesentret AS,0,74086515,"Johan Falkbergets vei 8, 7374 Røros","62.57198095811258, 11.368298824745501",,,,,,,2022-02-24 01:39:34.145351,00.00
917,Circle K Moan,0,22665600,"Moafjæra 1, 7606 Levanger","63.74640247152653, 11.30006207152653",,,,,,,2022-02-24 01:47:39.523915,00.00
918,Shell Crt Levanger,0,74161900,"Gråmyrvegen 18, E6, 7608 Levanger","63.746398936516705, 11.300058536516707",,,,,,,2022-02-24 02:30:47.349365,00.00
919,Circle K Sannan,0,74149200,"Kongens gate 45, 7713 Steinkjer","64.01876226796648, 11.493983867966483",,,,,,,2022-02-24 01:39:06.921160,00.00
920,Shell 7-Eleven dup,0,22665600,"Kongens gate 44, 7713 Steinkjer","64.01897696034789, 11.494198560347897",,,,,,,2022-02-24 01:39:34.145351,00.00
921,Shell Crt Namsos,0,95120077,"Industrivegen 9, 7820 Spillum","64.443644497429, 11.518423797429001",,,,,,,2022-02-24 01:47:39.523915,00.00
922,Circle K Namsos,0,74281306,"Nøsthaugvegen 1, 7820 Spillum","64.4432752, 11.5180545",,,,,,,2022-02-24 02:30:47.349365,00.00
923,Circle K Overhalla,0,90856260,"Overhallsvegen 1669, 7863 Overhalla","64.48059190000001, 11.854014097305411",,,,,,,2022-02-24 01:39:06.921160,00.00
924,Circle K Harran,0,75564900,"Namsenvegen 1475, 7873 Harran","36.8710059, 39.0251364",,,,,,,2022-02-24 01:39:34.145351,00.00
925,Circle K Hunstad,0,75646897,"Bodøveien 630, 8019 Bodø","67.28420141487433, 14.382837214874332",,,,,,,2022-02-24 01:47:39.523915,00.00
926,Circle K Fauske,0,93491248,"Storgaten 88, 8200 Fauske","67.2592653114122, 15.400226980998749",,,,,,,2022-02-24 02:30:47.349365,00.00
927,Circle K Røkland,0,76087608,"Saltfjellveien, 8255 Røkland","66.98433381771824, 15.311613217718246",,,,,,,2022-02-24 01:39:06.921160,00.00
928,Circle K Leknes,0,76092439,"Storgata 35, 8370 Leknes","68.1453921, 13.61002",,,,,,,2022-02-24 01:39:34.145351,00.00
929,Circle K Reine,0,22665600,"Reineveien 84, 8390 Reine","48.8677143, -79.5044518",,,,,,,2022-02-24 01:47:39.523915,00.00
930,Shell Express Sortland,0,76133187,"Brekkaveien 2, 8402 Sortland","68.76729605, 15.367917868560635",,,,,,,2022-02-24 02:30:47.349365,00.00
931,Yx Myre Bilservice,0,76984400,"Storgata 58, 8430 Myre","68.9136618, 15.0854347",,,,,,,2022-02-24 01:39:06.921160,00.00
932,ETS Truck Stop AS,0,47617487,"Bedringens vei 1, 8536 Evenes","68.49697854216957, 16.907085571938545",,,,,,,2022-02-24 01:39:06.921160,00.00
933,Circle K Evenes,0,75159900,"Bedringens vei 1, 8536 Evenes","68.49686075, 16.906967779768962",,,,,,,2022-02-24 01:39:34.145351,00.00
934,Circle K Grubhei,0,75191062,"Engliveien 1, 8610 Mo i Rana","66.31843806687162, 14.215596256204305",,,,,,,2022-02-24 01:47:39.523915,00.00
935,Circle K Korgen,0,75028750,"Leirskardveien 2, Olderneset, 8646 Korgen","66.076967, 13.8202521",,,,,,,2022-02-24 02:30:47.349365,00.00
936,Circle K Berg,0,75024308,"Klakkjeveien 1, 8920 Sømna","65.35970645, 12.223679584060022",,,,,,,2022-02-24 01:39:06.921160,00.00
937,Circle K Hommelstø,0,22665600,"Rugåshylla 3, 8960 Velfjord","65.40551, 12.5222743",,,,,,,2022-02-24 01:39:34.145351,00.00
938,Shell Express Tromsø,0,77675880,"Strandvegen 144, 9006 Tromsø","69.6494920028621, 18.954627402862105",,,,,,,2022-02-24 01:47:39.523915,00.00
939,Circle K Breivika,0,77633300,"Terminalgata 24, 9019 Tromsø","69.64948181419663, 18.95461721419663",,,,,,,2022-02-24 02:30:47.349365,00.00
940,Circle K Kroken,0,77728122,"Anton Borchs veg 5, 9022 Krokelvdalen","40.991879187500004, 19.53252787322745",,,,,,,2022-02-24 01:39:06.921160,00.00
941,Circle K Nordkjosbotn,0,90853067,"Sentrumsveien 14, 9040 Nordkjosbotn","69.2186366, 19.5580286",,,,,,,2022-02-24 01:39:34.145351,00.00
942,Shell Automat Sørkjosen,0,77844979,"Industrivegen 3, 9152 Sørkjosen","69.7903789, 20.9463114",,,,,,,2022-02-24 01:47:39.523915,00.00
943,Circle K Finnsnes,0,77833164,"Storgata 49, 9300 Finnsnes","69.2322815, 17.9805425",,,,,,,2022-02-24 02:30:47.349365,00.00
944,Circle K Bardufoss,0,77181954,"Tverrveien 2, 9325 Bardufoss","69.0650033, 18.5207537",,,,,,,2022-02-24 01:39:06.921160,00.00
945,Circle K Setermoen,0,78450080,"Fogd Holmboes gate 52, 9360 Bardu","46.95486835038716, 14.414920309501175",,,,,,,2022-02-24 01:39:34.145351,00.00
946,Circle K Alta,0,78430033,"Altaveien 81, 9513 Alta","70.04972011334229, 23.082632661390686",,,,,,,2022-02-24 01:47:39.523915,00.00
947,Circle K Elvebakken,0,90853067,"Altaveien 261, 9515 Alta","70.04975266146896, 23.082665209517348",,,,,,,2022-02-24 02:30:47.349365,00.00
948,Shell Automat Kautokeino,0,78484380,"Fievroluodda 7, 9522 Kautokeino","69.02267043185353, 23.04869927857175",,,,,,,2022-02-24 01:39:06.921160,00.00
949,Cirkle K Kautokeino,0,90853067,"Fievroluodda 3, 9522, Kautokeino","69.02131677579045, 23.048379884127556",,,,,,,2022-02-24 01:39:06.921160,00.00
950,Shell Truckdiesel Talvik,0,78412781,"Handelstranda 6, 9540 Talvik","70.042283, 22.949626",,,,,,,2022-02-24 01:39:34.145351,00.00
951,Circle K Hammerfest,0,78429580,"Fuglenesveien 82, 9601 Hammerfest","70.6413392, 23.8360800591327",,,,,,,2022-02-24 01:47:39.523915,00.00
952,Circle K Rypefjord,0,78465510,"Fjordaveien 36, 9610 Rypefjord","70.64601711542586, 23.673041415425867",,,,,,,2022-02-24 02:30:47.349365,00.00
953,Circle K Lakselv,0,78953777,"Georg Bjørklis vei 1, 9700 Lakselv","47.230497521384684, 16.621228394000283",,,,,,,2022-02-24 01:39:06.921160,00.00
954,Circle K Vadsø,0,78998021,"W. Andersens gate 9, 9800 Vadsø","47.047306682300935, 16.797737208908494",,,,,,,2022-02-24 01:39:34.145351,00.00
955,Circle K Hesseng,0,78983992,"Mellomveien 2, 9912 Hesseng","69.68781546769053, 29.986714832304724",,,,,,,2022-02-24 01:47:39.523915,00.00
956,Circle K Båtsfjord,0,22492000,"Valen 3, 9990 Båtsfjord","70.61427605, 30.327265303498322",,,,,,,2022-02-24 02:30:47.349365,00.00
957,Yx 7-Eleven Gressbanen,0,23008040,"Holmenkollveien 53, 0773 Oslo","59.95131758823084, 10.674903459546801",,,,,,,2022-02-24 01:39:06.921160,00.00
958,Yx 7-Eleven Tåsen,0,67131223,"Tåsenveien 69, 0870 Oslo","59.94979809022911, 10.750722166597138",,,,,,,2022-02-24 01:39:34.145351,00.00
959,Yx 7-Eleven Kolsås,0,67120184,"Brynsveien 92, 1352 Kolsås","59.9081168750144, 10.512183469611264",,,,,,,2022-02-24 01:47:39.523915,00.00
960,Yx 7-eleven Høvik,0,66842960,"Drammensveien 444, 1363 Høvik","59.897265781587315, 10.57896738158732",,,,,,,2022-02-24 02:30:47.349365,00.00
961,Esso Billingstad,0,64946402,"Billingstadsletta 9, 1396 Billingstad","59.8755747, 10.4822168",,,,,,,2022-02-24 01:39:06.921160,00.00
962,Shell 7-Eleven Vinterbro,0,64940232,"Sjøskogenveien 2, 1407 Vinterbro","59.74045645589746, 10.767365255897456",,,,,,,2022-02-24 01:39:34.145351,00.00
963,Shell 7 Eleven Nygårdskrysset,0,67061533,"Kveldroveien, 1407 Vinterbro","59.7402741, 10.7671829",,,,,,,2022-02-24 01:47:39.523915,00.00
964,Shell 7-Eleven Gjelleråsen,0,64985860,"Carl Bergersens vei 1, 1481 Hagan","57.616667, 12.083333",,,,,,,2022-02-24 02:30:47.349365,00.00
965,Circle K E6 Vestby,0,64950020,"Svarthagsveien 3, 1543 Vestby","59.5602129290469, 10.7122220243814",,,,,,,2022-02-24 01:39:06.921160,00.00
966,Yx 7-Eleven Vestby,0,48154950,"Kirkeveien 10, 1543 Vestby","59.560183564336725, 10.712192659671228",,,,,,,2022-02-24 01:39:06.921160,00.00
967,Yx 7-Eleven Sonsveien,0,69260261,"Sonsveien 95, 1550 Hølen","59.5399008, 10.7423942",,,,,,,2022-02-24 01:39:34.145351,00.00
968,Yx 7-Eleven Rygge,0,69320472,"Ryggeveien 348, 1580 Rygge","59.375642804562005, 10.782657704562002",,,,,,,2022-02-24 01:47:39.523915,00.00
969,Begby bensin og Bilservice AS,0,69101474,"Haldenveien 2, 1639 Gamle Fredrikstad","59.21368754127297, 10.93648654127297",,,,,,,2022-02-24 02:30:47.349365,00.00
970,Shell7-Eleven Kurland Lande,0,69212990,"Madam Arnesens vei 40, 1710 Sarpsborg","-5.5264601, 36.2089634",,,,,,,2022-02-24 01:39:06.921160,00.00
971,Shell 7-Eleven Brødløs,0,64923600,"Rokkeveien 8, 1779 Halden","59.06834864889605, 11.5374841511358",,,,,,,2022-02-24 01:39:34.145351,00.00
972,Shell 7-Eleven Flateby,0,63827020,"Ødegårdsveien 2, 1911 Flateby","59.8299142, 11.153773",,,,,,,2022-02-24 01:47:39.523915,00.00
973,Esso Sørumsand Østli servicesenter,0,63997500,"Sørumsandveien 45, 1920 Sørumsand","59.9815813, 11.240322845647526",,,,,,,2022-02-24 02:30:47.349365,00.00
974,Shell Automat Nannestad sentrum,0,22665600,"Nannestadvegen 261, 2030 Nannestad","60.2267034, 10.940940671045684",,,,,,,2022-02-24 01:39:06.921160,00.00
975,Shell Express Nannestad Eltonåsen,0,63980521,"Gamle Åsvegen 91, 2034 Holter","60.1421791, 11.0501692",,,,,,,2022-02-24 01:39:34.145351,00.00
976,Yx 7-Eleven Kløfta,0,63970367,"Kongsvingervegen 27, 2040 Kløfta","60.0753432, 11.1391499",,,,,,,2022-02-24 01:47:39.523915,00.00
977,Yx 7-Eleven Jessheim,0,63946950,"M Jul Halvorsens veg 4, 2053 Jessheim","52.274123700000004, 20.99709647910313",,,,,,,2022-02-24 02:30:47.349365,00.00
978,Esso  d,0,63959540,"Ringvegen 38, 2066 Jessheim","60.142311, 11.1768609",,,,,,,2022-02-24 01:39:06.921160,00.00
979,Circle K E6 Dal,0,22962350,"Industrivegen 9, 2072 Dal","45.87160035, 13.355264808402922",,,,,,,2022-02-24 01:39:34.145351,00.00
980,Circle K Automat Langeland,0,62361188,"Øvre Langelandsveg 77, 2214 Kongsvinger","60.18678485135926, 12.005142251359262",,,,,,,2022-02-24 01:47:39.523915,00.00
981,Circle K E6 Furnes,0,62585870,"Gjerluvegen 2, 2320 Furnes","51.0724273, 2.6621323",,,,,,,2022-02-24 02:30:47.349365,00.00
982,Romedal bensin og service,0,61251016,"Mågårdvegen 74, 2334 Romedal","60.7370449, 11.2930754",,,,,,,2022-02-24 01:39:06.921160,00.00
983,Yx 7-Eleven Lillehammer,0,61253498,"Løkkegata 19, 2615 Lillehammer","61.11922644040926, 10.460144066897975",,,,,,,2022-02-24 01:39:34.145351,00.00
1402,Circle K Nordre Ål,0,61253498,"Gudbrandsdalsvegen 198, 2619 Lillehammer","61.13017622492575, 10.44869629391571",,,,,,,2022-02-24 01:47:39.523915,00.00
985,Circle K Sør-Fron,0,61237214,"Kongsvegen 709, 2647 Sør-Fron","61.56097687459224, 9.937941838095664",,,,,,,2022-02-24 02:30:47.349365,00.00
986,Autosenteret Vågå AS - Circle K,0,46217000,"Vågåvegen 36, 2680 Vågå","61.7019796, 8.994550726167361",,,,,,,2022-02-24 01:39:06.921160,00.00
987,Best Lom - Lom Servicesenter AS,0,61160226,"Sognefjellsvegen 21, 2686 Lom","45.5703694, 9.7732524",,,,,,,2021-12-28 14:39:00.282380,00.00
988,Esso Lena,0,61342920,"Lenagata 84, 2850 Lena","60.673604729092844, 10.81293325026296",,,,,,,2022-02-24 01:39:06.921160,00.00
989,Sebu Bil & bensin AS,0,61367500,"Vindevegen 1, 2940 Heggenes","61.1442003, 9.0697429",,,,,,,2022-02-24 01:39:34.145351,00.00
990,Yx Vang i Valdres,0,32873397,"Tyinvegen 5340, 2975 Vang i Valdres","61.13040172280982, 8.542381094748459",,,,,,,2022-02-24 01:47:39.523915,00.00
991,Uno-X Munkhaughjørnet,0,33315100,"Drammensveien 24, 3050 Mjøndalen","59.74885078197054, 10.016914357019195",,,,,,,2022-02-24 02:30:47.349365,00.00
992,Yx 7-Eleven Storgaten,0,32759080,"Storgaten 2 A, 3126 Tønsberg","59.267817269488376, 10.408152469488373",,,,,,,2022-02-24 01:39:06.921160,00.00
993,DRIV Sea Horse Marina,0,33466200,"Ormeletveien 117, 3145 Tjøme","59.11097325, 10.39958349463733",,,,,,,2022-02-24 01:39:34.145351,00.00
994,Shell 7-Eleven Tempokrysset,0,32700603,"Skiringssalveien 9 B, 3211 Sandefjord","59.1300112, 10.2255602",,,,,,,2022-02-24 01:47:39.523915,00.00
995,Yx 7-Eleven Langebru,0,32226880,"Meierigata 1, 3302 Hokksund","59.762689969296474, 9.898776838355756",,,,,,,2022-02-24 02:30:47.349365,00.00
996,Circle K Lier E18,0,32840567,"Ringeriksveien 80, Kjellstad, 3402 Lier","51.131069, 4.5696516",,,,,,,2022-02-24 01:39:06.921160,00.00
997,Shell 7-Eleven Gullaug,0,32122704,"Røykenveien 12, 3427 Gullaug","59.7482673, 10.2920925",,,,,,,2022-02-24 01:39:34.145351,00.00
998,Yx 7-Eleven Dalsbråten,0,22962530,"Osloveien 16, 3511 Hønefoss","60.16960761340428, 10.249418613404284",,,,,,,2022-02-24 01:47:39.523915,00.00
999,Circle K Automat Noresund,0,22962530,"Krøderfjordveien 1665, 3536 Noresund","60.1798528, 9.6241111",,,,,,,2022-02-24 02:30:47.349365,00.00
1000,Circle K Truck Rjukan,0,35523020,"Svaddevegen 139, 3660 Rjukan","59.8786889, 8.5941727",,,,,,,2022-02-24 01:39:06.921160,00.00
1001,Shell 7-Eleven Wattenberg,0,35570649,"Risingvegen 9, 3716 Skien","59.26660845646687, 9.53145560400434",,,,,,,2022-02-24 01:39:34.145351,00.00
